Bins,Normalized PDF values
-52.07763671875,0.0
-51.87763671875,0.0
-51.677636718749994,0.0
-51.47763671874999,0.0
-51.27763671874999,0.0
-51.077636718749986,0.0
-50.87763671874998,0.0
-50.67763671874998,0.0
-50.47763671874998,0.0
-50.277636718749974,0.0
-50.07763671874997,0.0
-49.87763671874997,0.0
-49.677636718749966,0.0
-49.47763671874996,0.0
-49.27763671874996,0.0
-49.07763671874996,0.0
-48.877636718749955,0.0
-48.67763671874995,0.0
-48.47763671874995,0.0
-48.277636718749946,0.0
-48.07763671874994,0.0
-47.87763671874994,0.0
-47.67763671874994,0.0
-47.477636718749935,0.0
-47.27763671874993,0.0
-47.07763671874993,0.0
-46.877636718749926,0.0
-46.67763671874992,0.0
-46.47763671874992,0.0
-46.27763671874992,0.0
-46.077636718749915,0.0
-45.87763671874991,0.0
-45.67763671874991,0.0
-45.477636718749906,0.0
-45.2776367187499,0.0
-45.0776367187499,0.0
-44.8776367187499,0.0
-44.677636718749895,0.0
-44.47763671874989,0.0
-44.27763671874989,0.0
-44.077636718749886,0.0
-43.87763671874988,0.0
-43.67763671874988,0.0
-43.47763671874988,0.0
-43.277636718749875,0.0
-43.07763671874987,0.0
-42.87763671874987,0.0
-42.677636718749866,0.0
-42.477636718749864,0.0
-42.27763671874986,0.0
-42.07763671874986,0.0
-41.877636718749855,0.0
-41.67763671874985,0.0
-41.47763671874985,0.0
-41.27763671874985,1.1412216092594156e-06
-41.077636718749844,1.5977102529631818e-05
-40.87763671874984,4.222519954259838e-05
-40.67763671874984,4.108397793333896e-05
-40.477636718749835,3.8801534714820134e-05
-40.27763671874983,5.8202302072230195e-05
-40.07763671874983,7.30381829926026e-05
-39.87763671874983,5.477863724445195e-05
-39.677636718749824,4.7931307588895454e-05
-39.47763671874982,4.5648864370376626e-05
-39.27763671874982,4.5648864370376626e-05
-39.077636718749815,7.532062621112143e-05
-38.87763671874981,8.216795586667793e-05
-38.67763671874981,7.417940460186202e-05
-38.47763671874981,7.189696138334319e-05
-38.277636718749804,6.619085333704611e-05
-38.0776367187498,5.5919858853711366e-05
-37.8776367187498,5.021375080741429e-05
-37.677636718749795,5.706108046297078e-05
-37.47763671874979,6.733207494630552e-05
-37.27763671874979,6.276718850926786e-05
-37.07763671874979,6.276718850926786e-05
-36.877636718749784,7.30381829926026e-05
-36.67763671874978,7.874429103889968e-05
-36.47763671874978,7.30381829926026e-05
-36.277636718749775,5.9343523681489616e-05
-36.07763671874977,5.363741563519254e-05
-35.87763671874977,3.1954205059263636e-05
-35.67763671874977,5.13549724166737e-05
-35.477636718749764,6.504963172778669e-05
-35.27763671874976,3.309542666852306e-05
-35.07763671874976,2.9671761840744808e-05
-34.877636718749756,2.624809701296656e-05
-34.67763671874975,2.3965653794447727e-05
-34.47763671874975,1.027099448333474e-05
-34.27763671874975,2.054198896666948e-05
-34.077636718749744,1.825954574815065e-05
-33.87763671874974,1.5977102529631818e-05
-33.67763671874974,1.3694659311112988e-05
-33.477636718749736,1.5977102529631818e-05
-33.27763671874973,7.988551264815909e-06
-33.07763671874973,1.825954574815065e-05
-32.87763671874973,2.16832105759289e-05
-32.677636718749724,2.853054023148539e-05
-32.47763671874972,5.9343523681489616e-05
-32.27763671874972,3.7660313105560713e-05
-32.077636718749716,4.33664211518578e-05
-31.877636718749713,5.706108046297078e-05
-31.67763671874971,6.961451816482435e-05
-31.477636718749707,6.961451816482435e-05
-31.277636718749704,8.7874063912975e-05
-31.0776367187497,0.00013580537150187046
-30.8776367187497,0.0001380878147203893
-30.677636718749696,0.00018601912230928474
-30.477636718749693,0.00017232446299817177
-30.27763671874969,0.0001825954574815065
-30.077636718749687,0.00018487790070002535
-29.877636718749685,0.00017574812782595
-29.67763671874968,0.00023052676507040196
-29.47763671874968,0.00029557639679818863
