Bins,CDF values
0.0,0.038305014840520166
0.1001493,0.07690332295719149
0.2002986,0.11456925517263519
0.3004479,0.15198754287086177
0.4005972,0.1886229652552994
0.5007465,0.2248486683463685
0.6008958,0.25993203246518914
0.7010451,0.2938079663893707
0.8011944,0.3262733734042757
0.9013437,0.35693679512402693
1.001493,0.3855859306548888
1.1016424,0.4127332556714299
1.2017916,0.43804321759411563
1.3019409,0.4617200946799647
1.4020902,0.4838038296049305
1.5022395,0.5040216468876244
1.6023889,0.5229533340702123
1.7025381,0.5405224053931335
1.8026874,0.5571385585897384
1.9028367,0.5724126378743098
2.002986,0.5866847096138318
2.1031353,0.5998109985269919
2.2032847,0.6121133573643275
2.303434,0.6235301017815814
2.4035833,0.6343192020086844
2.5037324,0.6445753277661674
2.6038818,0.6541238983918335
2.7040312,0.6630881867654208
2.8041804,0.6716826991810885
2.9043298,0.6797887896098078
3.004479,0.687389301187068
3.1046283,0.6946896724422832
3.2047777,0.7019501183535196
3.3049269,0.708520110117827
3.4050763,0.7150136402791799
3.5052257,0.7211374304017348
3.6053748,0.7271402368426341
3.7055242,0.732586141886397
3.8056734,0.7378939465929791
3.9058228,0.743242847879676
4.005972,0.7482299584685699
4.1061215,0.75301395552294
4.2062707,0.757551448912295
4.30642,0.7619154559813865
4.4065695,0.7661973159403553
4.5067186,0.7703844545836006
4.606868,0.7743969864641268
4.707017,0.7783227668819288
4.8071666,0.7821173256142239
4.9073157,0.785902754581148
5.007465,0.7895226893152375
5.1076145,0.792892713957784
5.2077637,0.796207960008105
5.307913,0.7993885268756673
5.4080625,0.8025519905766965
5.5082116,0.8057245840430965
5.608361,0.8087944530325987
5.7085104,0.811793580956951
5.8086596,0.8146717394901384
5.9088087,0.8174996843137856
6.008958,0.820239742099583
6.1091075,0.8230026373449623
6.2092566,0.8255977731516506
6.309406,0.8282590870860443
6.4095554,0.8309101427056297
6.5097046,0.8333854503418245
6.6098537,0.8357443422382189
6.7100034,0.838148894192789
6.8101525,0.8404484538455934
6.9103017,0.8426772472048862
7.0104513,0.8448763794386103
7.1106005,0.8470971948650903
7.2107496,0.849127426439452
7.310899,0.8512557928578244
7.4110484,0.8531981504404909
7.5111976,0.8551621912159133
7.6113467,0.8570360666362711
7.7114964,0.8589282105093975
7.8116455,0.8607336216115
7.9117947,0.8624990899901047
8.011944,0.8642577110446812
8.112093,0.8659033355822671
8.212243,0.8675626704384346
8.312392,0.8692105930878885
8.412541,0.8708801989300984
8.512691,0.8724653544426271
8.61284,0.8739831779355451
8.712989,0.8754462089044669
8.813139,0.8769708797214131
8.913288,0.8784316421807628
9.013437,0.8798924046401124
9.113586,0.8813212129206638
9.213736,0.8827580097459148
9.313885,0.8842746920181614
9.414034,0.885736581777279
9.514184,0.887151695409774
9.614333,0.8885588204975694
9.714482,0.8899590982613367
9.814631,0.8913331279496625
9.914781,0.8926797683418755
10.01493,0.8939955832460617
10.11508,0.8953878724651293
10.215229,0.8968041273182956
10.315378,0.8981370730624522
10.415527,0.8994837134546652
10.5156765,0.9008429072742632
10.615826,0.9021861240044621
10.715975,0.9034756910831528
10.816125,0.9048451558887932
10.916274,0.9061781016329498
11.016423,0.9074745283156226
11.116572,0.9087869320876946
11.216722,0.9100742290049965
11.316871,0.9113067355934796
11.417021,0.9126031622761525
11.51717,0.9138003027604163
11.617319,0.9150716225883191
11.717468,0.9163577782849496
11.817617,0.9176085561407678
11.917767,0.9187897195356325
12.017916,0.919972012892733
12.118066,0.9210538900891888
12.218215,0.9221665802437715
12.318364,0.9231971025100159
12.418513,0.9242321896589457
12.518662,0.9252923836626455
12.618812,0.9262156223942037
12.718962,0.9271799538615088
12.819111,0.928185369272983
12.91926,0.9291143228994757
13.019409,0.929995345257771
13.119558,0.9308136004791411
13.2197075,0.9315622412395578
13.319857,0.9323177221299058
13.420007,0.9330298438288388
13.520156,0.9336849044942034
13.620305,0.934365072014338
13.720454,0.9350566517411865
13.820603,0.9357459490266921
13.920753,0.9364112743425121
14.020903,0.9371051365107033
14.121052,0.9377932925755376
14.221201,0.9383969983106907
14.32135,0.9390703185067971
14.421499,0.9396569059318797
14.521648,0.9403005543905306
14.621798,0.9409259373632054
14.721948,0.9414851354921752
14.822097,0.9420785702412859
14.922246,0.9426160851774997
15.022395,0.9431501764516994
15.122544,0.9436443250024013
15.222693,0.9441396100574029
15.322844,0.9446348998287761
15.422993,0.9451279071588067
15.523142,0.9456597159916637
15.623291,0.9461287576875954
15.72344,0.9466206237969546
15.823589,0.9471718333812248
15.9237385,0.9476602758285698
16.023888,0.948164695365314
16.124037,0.948628030957889
16.224186,0.9491278760923573
16.324337,0.9496140360983596
16.424486,0.9500716655875777
16.524635,0.9505555431522373
16.624784,0.9509892070073568
16.724934,0.9514342830691899
16.825083,0.9518805003516944
16.925232,0.9522765039246587
17.025381,0.9526622365115807
17.12553,0.9530593813052164
17.22568,0.9534645146435516
17.325829,0.9538719304232296
17.425978,0.954293040850964
17.526127,0.9547004488715237
17.626278,0.9551010173271736
17.726427,0.9555072918861802
17.826576,0.9558644939563181
17.926725,0.95622511968847
18.026875,0.9565663446692088
18.127024,0.9568710505884638
18.227173,0.9571848862730897
18.327322,0.9575249700331571
18.427471,0.9578022866562992
18.52762,0.9580978628101832
18.62777,0.9583877328607103
18.727919,0.9586616258218384
18.828068,0.9589412195614383
18.928219,0.9592288071706228
19.028368,0.9595118298971218
19.128517,0.9598222419197336
19.228666,0.9601075470875754
19.328815,0.9604270888755582
19.428965,0.960759184090926
19.529114,0.9610650312308523
19.629263,0.9613822905774922
19.729412,0.9616972674827895
19.829561,0.9619802902092885
19.92971,0.9622256526536325
20.02986,0.9625120990421455
20.130009,0.9627928339806825
20.23016,0.9630701506038246
20.330309,0.9633371962409245
20.430458,0.9636088067607098
20.530607,0.9639043829145938
20.630756,0.9642102300545201
20.730906,0.9644864054569909
20.831055,0.964785405272889
20.931204,0.965043321144618
