Bins,CDF values
0.0,0.0013778807663797905
0.10024023,0.002736524104956722
0.20048046,0.004074727676493115
0.3007207,0.005488678620003267
0.40096092,0.006907438920464133
0.50120115,0.008403148932136437
0.6014414,0.009907275318472492
0.7016816,0.01140779468709551
0.80192184,0.012954002946750318
0.9021621,0.014446105940709586
1.0024023,0.015962255719422426
1.1026425,0.017472393801946873
1.2028828,0.01899215059837275
1.303123,0.020551584589642024
1.4033632,0.022272132038760245
1.5036035,0.023937371882945244
1.6038437,0.025649502957399713
1.7040839,0.027493891347998838
1.8043242,0.02941763412828476
1.9045644,0.03129689035677657
2.0048046,0.033226644833250885
2.1050448,0.035230944342461275
2.205285,0.0373121935628831
2.3055253,0.03938743108711654
2.4057655,0.04177527681314643
2.5060058,0.04406212604321132
2.606246,0.04649085130332229
2.7064862,0.04892799293809701
2.8067265,0.051473345104262824
2.9069667,0.05430244933052081
3.007207,0.056987272848257345
3.1074471,0.059806758360613894
3.2076874,0.06272724036893546
3.3079276,0.06601684052322437
3.4081678,0.06944350735060867
3.508408,0.07312627243561853
3.6086483,0.07690642699888037
3.7088885,0.08084529034151579
3.8091288,0.08505227533415356
3.909369,0.08936987553665778
4.009609,0.09403374943961346
4.1098495,0.09891765142306434
4.2100897,0.10407688909194364
4.31033,0.10970503906351764
4.41057,0.11576001946446757
4.5108104,0.1222334139201297
4.6110506,0.1293055733161558
4.711291,0.13691157133371126
4.811531,0.14521372376988267
4.9117713,0.15444528443677974
5.0120115,0.16455214806870688
5.1122518,0.175519886594812
5.212492,0.1876550965207031
5.312732,0.2009890386665599
5.4129725,0.2155241177108577
5.5132127,0.2317136155462014
5.613453,0.24933870643133346
5.713693,0.2682959891918135
5.8139334,0.2881634427552164
5.9141736,0.30967208937805063
6.014414,0.3325369746609865
6.114654,0.35663786468025604
6.2148943,0.38211423078743
6.3151345,0.4087424378843002
6.4153748,0.43624113858924973
6.515615,0.46467285454263796
6.615855,0.4940279670305634
6.7160954,0.5231365999747647
6.8163357,0.5517715112593207
6.916576,0.5798341090667415
7.016816,0.6069865360712395
7.1170564,0.632547065925051
7.2172966,0.6561886623555273
7.317537,0.6778427920261207
7.417777,0.6976922105009584
7.5180173,0.7156118744993217
7.6182575,0.7316739243754715
7.7184978,0.7461164232984681
7.818738,0.7591557923310935
7.918978,0.771165958976266
8.019218,0.7817778555682156
8.119458,0.7916610370881939
8.219699,0.8006521726778832
8.319939,0.809019211631354
8.420179,0.8168260374382347
8.520419,0.8239715055371679
8.62066,0.8305411183831244
8.7209,0.8366321399865563
8.82114,0.8423372668083102
8.92138,0.8476768299628387
9.021621,0.8524838051015894
9.1218605,0.8571572754870098
9.222101,0.8614340164996502
9.322341,0.8654894874566924
9.422582,0.8695486040320858
