"Set Name","mean","median","max","min","sum","percentil_90","squared_sum","nmad","rmse","std","nbpts","percent_valid_points"
"[0%;5%[:0",-0.08642,0.40884,3.35447,-11.03292,-12.70325,3.00751,809.71112,0.71222,2.34696,2.34537,154,0.01435
"[5%;10%[:5",0.19805,0.40704,17.96353,-16.75025,236.26985,2.93858,7348.23535,0.77369,2.48183,2.47391,1233,0.11486
"[10%;25%[:10",0.30113,0.40423,19.52877,-17.81663,9115.87988,2.64248,170525.20312,0.80509,2.37342,2.35423,31363,2.92167
"[25%;45%[:25",0.26843,0.37781,19.73791,-18.46854,14573.07031,3.84551,389947.21875,1.02662,2.68003,2.66655,56127,5.2286
"[45%;inf[:45",0.70903,0.51495,19.75639,-18.56979,145952.76562,7.28585,3503338.5,2.26107,4.12541,4.06402,210191,19.58067
