"Set Name","mean","median","max","min","sum","percentil_90","squared_sum","nmad","rmse","std","nbpts","percent_valid_points"
"[0%;5%[:0",-0.4015,0.18475,19.43146,-18.55926,-3527.98877,6.96467,95199.14062,1.15447,3.29152,3.26694,9094,0.84717
"[5%;10%[:5",-0.45598,0.17618,19.62618,-18.54332,-10994.07812,7.51847,288831.84375,1.18949,3.46111,3.43094,25024,2.33115
"[10%;25%[:10",-0.44936,0.14045,19.74689,-18.56366,-47958.50781,7.70998,1343027.875,1.30235,3.54736,3.51878,111011,10.3414
"[25%;45%[:25",-0.20611,0.20246,19.75416,-18.57039,-30418.93945,7.26846,1842645.25,1.36205,3.53341,3.52739,152730,14.2278
"[45%;inf[:45",0.85978,0.61559,19.75261,-18.55918,158629.375,8.45246,2822020.0,1.57164,3.91094,3.81526,192706,17.95182
