"Set Name","mean","median","max","min","sum","percentil_90","squared_sum","nmad","rmse","std","nbpts","percent_valid_points"
"[0%;5%[:0",-7.54751,-6.90289,11.95764,-25.89246,-63142.47266,8.23667,591026.75,1.21506,8.40513,3.69883,8669,0.80838
"[5%;10%[:5",-7.55086,-6.91162,12.29236,-25.87256,-174409.78125,7.75053,1610734.5,1.16683,8.35074,3.56641,23948,2.23313
"[10%;25%[:10",-7.62681,-6.93774,12.8819,-25.95496,-785172.0625,8.18693,7414507.0,1.33519,8.48653,3.72196,106965,9.97439
"[25%;45%[:25",-7.37444,-6.8678,12.89569,-25.95978,-1072950.875,7.51424,9864000.0,1.40125,8.23381,3.66243,150482,14.03232
"[45%;inf[:45",-6.28937,-6.46564,12.89575,-25.96173,-1146740.375,8.73804,9914919.0,1.58838,7.37421,3.85004,190867,17.79818
