"Set Name","mean","median","max","min","sum","percentil_90","squared_sum","nmad","rmse","std","nbpts","percent_valid_points"
"[0%;5%[:0",-7.53779,-6.89859,11.95764,-25.89246,-64237.00781,8.21881,600213.875,1.20262,8.39232,3.68956,8829,0.8233
"[5%;10%[:5",-7.51526,-6.90112,12.29236,-25.87256,-182417.89062,7.6782,1672281.25,1.13448,8.30028,3.52358,25172,2.34727
"[10%;25%[:10",-7.43792,-6.86536,12.8819,-25.95935,-987496.125,7.62276,8977059.0,1.16805,8.2229,3.5062,137849,12.8543
"[25%;45%[:25",-7.22296,-6.8028,12.89569,-25.96222,-1442973.875,6.74987,12799365.0,1.27067,8.00428,3.44927,206565,19.26201
"[45%;inf[:45",-6.40676,-6.52826,12.89575,-25.96173,-2562877.25,7.7618,22695062.0,1.88356,7.53219,3.96071,413152,38.52607
