"Set Name","mean","median","max","min","sum","percentil_90","squared_sum","nmad","rmse","std","nbpts","percent_valid_points"
"[0%;5%[:0",-7.01623,-6.72678,9.36841,-19.1051,-1094.53174,3.62569,9187.03125,0.7779,7.67406,3.10866,160,0.01492
"[5%;10%[:5",-6.81542,-6.75281,10.78784,-25.69989,-8008.11914,2.58775,61546.66797,0.68058,7.23741,2.4352,1224,0.11414
"[10%;25%[:10",-6.78576,-6.69687,12.81366,-25.95935,-202324.125,2.71309,1562551.625,0.80428,7.23923,2.5219,30884,2.87991
"[25%;45%[:25",-6.81693,-6.66873,12.8728,-25.96222,-370023.0625,3.95006,2935363.5,1.01838,7.35379,2.75819,56083,5.22969
"[45%;inf[:45",-6.50508,-6.59558,12.8952,-25.96075,-1416136.625,7.27897,12780142.0,2.19576,7.66199,4.04846,222285,20.72788
