Bins,Normalized PDF values
-49.02276611328125,0.0
-48.82276611328125,0.0
-48.622766113281244,0.0
-48.42276611328124,0.0
-48.22276611328124,0.0
-48.022766113281236,0.0
-47.82276611328123,0.0
-47.62276611328123,0.0
-47.42276611328123,0.0
-47.222766113281224,0.0
-47.02276611328122,0.0
-46.82276611328122,0.0
-46.622766113281216,0.0
-46.42276611328121,0.0
-46.22276611328121,0.0
-46.02276611328121,0.0
-45.822766113281205,0.0
-45.6227661132812,0.0
-45.4227661132812,0.0
-45.222766113281196,0.0
-45.02276611328119,0.0
-44.82276611328119,0.0
-44.62276611328119,0.0
-44.422766113281185,0.0
-44.22276611328118,0.0
-44.02276611328118,0.0
-43.822766113281176,0.0
-43.62276611328117,0.0
-43.42276611328117,0.0
-43.22276611328117,0.0
-43.022766113281165,0.0
-42.82276611328116,0.0
-42.62276611328116,0.0
-42.422766113281156,0.0
-42.22276611328115,0.0
-42.02276611328115,0.0
-41.82276611328115,0.0
-41.622766113281145,0.0
-41.42276611328114,0.0
-41.22276611328114,0.0
-41.022766113281136,0.0
-40.82276611328113,0.0
-40.62276611328113,0.0
-40.42276611328113,0.0
-40.222766113281125,0.0
-40.02276611328112,0.0
-39.82276611328112,1.1414404521930496e-06
-39.622766113281116,1.0272964069737445e-05
-39.422766113281114,4.223329673114283e-05
-39.22276611328111,4.337473718333588e-05
-39.02276611328111,5.593058215745943e-05
-38.822766113281105,3.880897537456369e-05
-38.6227661132811,7.305218894035517e-05
-38.4227661132811,5.707202260965248e-05
-38.2227661132811,4.908193944430113e-05
-38.022766113281094,4.223329673114283e-05
-37.82276611328109,4.908193944430113e-05
-37.62276611328109,6.392066532281077e-05
-37.422766113281085,7.990083165351346e-05
-37.22276611328108,9.359811707983006e-05
-37.02276611328108,7.533506984474127e-05
-36.82276611328108,8.104227210570651e-05
-36.622766113281074,4.908193944430113e-05
-36.42276611328107,6.163778441842467e-05
-36.22276611328107,6.163778441842467e-05
-36.022766113281065,6.734498667938992e-05
-35.82276611328106,7.191074848816212e-05
-35.62276611328106,8.789091481886481e-05
-35.42276611328106,7.533506984474127e-05
-35.222766113281054,6.734498667938992e-05
-35.02276611328105,6.620354622719687e-05
-34.82276611328105,4.451617763552893e-05
-34.622766113281045,4.337473718333588e-05
-34.42276611328104,3.1960332661405386e-05
-34.22276611328104,4.908193944430113e-05
-34.02276611328104,6.163778441842467e-05
-33.822766113281034,3.4243213565791486e-05
-33.62276611328103,2.511168994824709e-05
-33.42276611328103,2.853601130482624e-05
-33.222766113281025,2.282880904386099e-05
-33.02276611328102,1.3697285426316594e-05
-32.82276611328102,1.7121606782895743e-05
-32.62276611328102,1.5980166330702693e-05
-32.422766113281014,1.8263047235088793e-05
-32.22276611328101,1.5980166330702693e-05
-32.02276611328101,1.1414404521930495e-05
-31.822766113281006,3.0818892209212336e-05
-31.622766113281003,4.337473718333588e-05
-31.422766113281,5.478914170526638e-05
-31.222766113280997,3.4243213565791486e-05
-31.022766113280994,5.2506260800880276e-05
-30.82276611328099,7.647651029693432e-05
-30.62276611328099,6.049634396623163e-05
-30.422766113280986,5.935490351403858e-05
-30.222766113280983,0.00010272964069737445
-30.02276611328098,7.761795074912737e-05
-29.822766113280977,0.00011414404521930495
-29.622766113280974,0.0001175683665758841
-29.42276611328097,0.00017349894873334353
-29.22276611328097,0.0002237223286298377
-29.022766113280966,0.00027052138716975277
-28.822766113280963,0.0002442682567693126
-28.62276611328096,0.00025225833993466396
-28.422766113280957,0.00026367274445659447
-28.222766113280954,0.0002807943512394902
-28.02276611328095,0.00033786637384914265
-27.82276611328095,0.0004189086459548492
-27.622766113280946,0.0004497275381640615
-27.422766113280943,0.0004771221090166947
-27.22276611328094,0.0005204968462000306
-27.022766113280937,0.00046228338313818504
-26.822766113280935,0.00038808975374563686
-26.62276611328093,0.00038580687284125076
-26.42276611328093,0.0003846654323890577
-26.222766113280926,0.00040178703917195346
-26.022766113280923,0.00035042221882326623
-25.82276611328092,0.0003321591715881774
-25.622766113280917,0.00026595562536098057
-25.422766113280915,0.0002397024949605404
-25.222766113280912,0.0001540944610460617
-25.02276611328091,0.00015295302059386865
-24.822766113280906,0.00015866022285483387
-24.622766113280903,0.0001403971756197451
-24.4227661132809,0.00010729540250614665
-24.222766113280898,7.990083165351346e-05
-24.022766113280895,6.163778441842467e-05
-23.822766113280892,7.419362939254822e-05
-23.62276611328089,7.305218894035517e-05
-23.422766113280886,7.761795074912737e-05
-23.222766113280883,7.875939120132042e-05
-23.02276611328088,8.218371255789956e-05
-22.822766113280878,8.674947436667176e-05
-22.622766113280875,0.0001061539620539536
-22.422766113280872,0.0001061539620539536
-22.22276611328087,0.00011642692612369106
-22.022766113280866,0.0001449629374285173
-21.822766113280863,0.0001472458183329034
-21.62276611328086,0.0001198512474802702
-21.422766113280858,0.00013925573516755205
-21.222766113280855,0.00012784133064562154
-21.022766113280852,0.00014610437788071035
-20.82276611328085,0.00015067013968948255
-20.622766113280846,0.00012099268793246326
-20.422766113280844,0.0001518115801416756
-20.22276611328084,0.00017578182963772963
-20.022766113280838,0.00016665030602018522
-19.822766113280835,0.00016665030602018522
-19.622766113280832,0.0001449629374285173
-19.42276611328083,0.00019290343642062538
-19.222766113280827,0.00014382149697632425
-19.022766113280824,0.0001449629374285173
-18.82276611328082,0.00015067013968948255
-18.622766113280818,0.00013925573516755205
-18.422766113280815,0.00014382149697632425
-18.222766113280812,0.00017920615099430878
-18.02276611328081,0.00019861063868159063
-17.822766113280807,0.00018034759144650183
